eventanalytics,eventid,eventduration,clientid,goodafter,isactive,regrequired,description,regnotificationrequired,displaytimezonecd,eventtype,category,createtimestamp,localelanguagecd,lastmodified,iseliteexpired,livestart,liveend,archivestart,archiveend,audienceurl,eventprofile,streamtype,audiencekey,reporturl,uploadurl,speakers,partnerrefstats,funnelstages,pmurl,previewurl,application,contenttype,lastupdated,promotionalsummary
"{'totalregistrants': 8, 'totalattendees': 7, 'liveattendees': 7, 'ondemandattendees': 2, 'numberofquestionsasked': 19, 'numberofquestionsanswered': 9, 'numberofpollspushed': 2, 'numberofpollresponses': 14, 'numberofsurveyspresented': 0, 'numberofsurveyresponses': 0, 'noshowcount': 1, 'registrationpagehits': 22, 'numberofctaclicks': 3, 'numberofgroupchatmessagessubmitted': 0, 'eventengagementscore': 4.9}",2224325,25,35078,2020-03-19T09:00:00-07:00,True,True,Vertex ON24 Webcasting Demo,True,America/New_York,Live Video and Audio,Training/Learning,2020-03-12T14:08:01-07:00,en,2020-04-01T15:03:18-07:00,N,2020-03-19T08:45:00-07:00,2020-03-19T09:28:07-07:00,2020-03-19T10:00:00-07:00,2020-12-31T23:59:00-08:00,https://event.on24.com/wcc/r/2224325/743F77990ECC558CC04EBEBA95B2BC61,Stonehenge Profile (918),video,743F77990ECC558CC04EBEBA95B2BC61,https://data.on24.com/webcast/report?e=2224325&k=C8D6F767266FE1301D687916195ED6CC,http://event.on24.com/eventManager/UploadAssetsServlet?cb=on24&eventId=2224325&sessionid=1&key=C8D6F767266FE1301D687916195ED6CC,"[{'name': 'Glenn Butcher', 'title': 'Sr. Director, CF Global Marketing', 'company': 'Vertex Pharmaceuticals', 'description': 'Glenn leads the Global Digital Marketing team at Vertex where he and his team drive the growth of digital capabilities, platforms, and processes to improve customer engagement.'}, {'name': 'Alex Lopes', 'title': 'Account Executive', 'company': 'ON24, Inc', 'description': ''}, {'name': 'Diane Patricia Mohan', 'title': 'Director, Customer Success', 'company': 'ON24, Inc', 'description': ''}]","[{'code': '-', 'count': 22}]",null,https://pm.on24.com/presentationManager/login.jsp?eventid=2224325&sessionid=1&key=C8D6F767266FE1301D687916195ED6CC,http://event.on24.com/webcast/previewlobby?e=2224325&k=C8D6F767266FE1301D687916195ED6CC,Employee Training,webcast,2020-03-23T05:32:55-07:00,"<p style=""list-style-type:none""><span style=""font-size:11pt""><span style=""font-family:Calibri,sans-serif"">Please register for a live demo of Vertex&rsquo;s ON24 webcasting service.&nbsp; This demo will last 30 minutes and will show what our customers will experience when participating in a webcast.&nbsp; The Demo will be followed by a 30 minute zoom meeting to discuss next steps (sent in separate invite).</span></span></p>"
"{'totalregistrants': 21, 'totalattendees': 21, 'liveattendees': 0, 'ondemandattendees': 21, 'numberofquestionsasked': 0, 'numberofquestionsanswered': 0, 'numberofpollspushed': 0, 'numberofpollresponses': 0, 'numberofsurveyspresented': 0, 'numberofsurveyresponses': 0, 'noshowcount': 0, 'registrationpagehits': 21, 'numberofgroupchatmessagessubmitted': 0, 'eventengagementscore': 0.3}",2240042,5,35078,2020-03-24T06:26:00-07:00,True,False,On demand testing with Alex & Julia,True,Europe/Berlin,On Demand,null,2020-03-23T13:28:44-07:00,de,2020-05-04T13:48:20-07:00,N,2020-03-24T06:26:00-07:00,2020-03-24T06:26:00-07:00,2020-03-24T06:26:00-07:00,2021-01-01T00:25:00-08:00,https://event.on24.com/wcc/r/2240042/7F7C88E26F87BC455A0BF5C40E10351B,Stonehenge Profile (1215),audio,7F7C88E26F87BC455A0BF5C40E10351B,https://data.on24.com/webcast/report?e=2240042&k=B4B0D33F2444EFEBCC28317348A30103,http://event.on24.com/eventManager/UploadAssetsServlet?cb=on24&eventId=2240042&sessionid=1&key=B4B0D33F2444EFEBCC28317348A30103,"[{'name': 'Alexandre Patchev, MD, PhD', 'title': 'Associate Medical Director', 'company': 'Associate Medical Director', 'description': ''}, {'name': 'Julia Sharp', 'title': 'Marketing Manager Digital & Multichannel', 'company': 'Vertex Pharmaceuticals (Germany) GmbH', 'description': ''}]","[{'code': '-', 'count': 21}]",null,https://pm.on24.com/presentationManager/login.jsp?eventid=2240042&sessionid=1&key=B4B0D33F2444EFEBCC28317348A30103,http://event.on24.com/webcast/previewlobby?e=2240042&k=B4B0D33F2444EFEBCC28317348A30103,null,webcast,2020-05-01T09:42:14-07:00,null
"{'totalregistrants': 1, 'totalattendees': 1, 'liveattendees': 0, 'ondemandattendees': 1, 'numberofquestionsasked': 0, 'numberofquestionsanswered': 0, 'numberofpollspushed': 0, 'numberofpollresponses': 0, 'numberofsurveyspresented': 0, 'numberofsurveyresponses': 0, 'noshowcount': 0, 'registrationpagehits': 2, 'numberofgroupchatmessagessubmitted': 0, 'eventengagementscore': 0.1}",2252874,2,35078,2020-03-30T11:00:00-07:00,True,True,Glenn's Test Webcast,True,America/Kentucky/Louisville,Live Video and Audio,Other,2020-03-30T09:19:19-07:00,en,2020-04-19T11:55:27-07:00,N,2020-03-30T10:45:00-07:00,2020-03-30T11:08:29-07:00,2020-03-30T12:00:00-07:00,2021-03-30T12:00:00-07:00,https://event.on24.com/wcc/r/2252874/EDEB420C8FBBE602C86B5B25D3849DF4,Stonehenge Profile (918),video,EDEB420C8FBBE602C86B5B25D3849DF4,https://data.on24.com/webcast/report?e=2252874&k=F05210E0CFC41AAA8A91B6AD9D0980DA,http://event.on24.com/eventManager/UploadAssetsServlet?cb=on24&eventId=2252874&sessionid=1&key=F05210E0CFC41AAA8A91B6AD9D0980DA,"[{'name': 'Glenn Butcher', 'title': 'Sr. Director, CF Global Marketing', 'company': 'Vertex Pharmaceuticals', 'description': ''}, {'name': 'Alex Lopes', 'title': 'Account Executive', 'company': 'ON24, Inc', 'description': ''}]","[{'code': '-', 'count': 2}]",['Awareness'],https://pm.on24.com/presentationManager/login.jsp?eventid=2252874&sessionid=1&key=F05210E0CFC41AAA8A91B6AD9D0980DA,http://event.on24.com/webcast/previewlobby?e=2252874&k=F05210E0CFC41AAA8A91B6AD9D0980DA,null,webcast,2020-04-17T14:40:47-07:00,null
